Region,EAPC,CI_lower,CI_upper,p_value,r_squared
Andean Latin America,0.008,-0.001,0.017,0.08740997726862479,0.09426066616404438
Australasia,0.016,0.011,0.022,1.0118247186302748e-06,0.5548399454551256
Caribbean,-0.023,-0.037,-0.009,0.001986522742080113,0.2767059181978686
Central Asia,-0.004,-0.011,0.004,0.3613139145101545,0.027847892215487002
Central Europe,0.027,0.023,0.031,1.3766778738055654e-14,0.8651099307416462
Central Latin America,-0.019,-0.026,-0.012,2.402076924153495e-06,0.5290969231402083
Central Sub-Saharan Africa,-0.02,-0.026,-0.014,4.794435110417248e-07,0.5759870684444546
East Asia,-0.04,-0.07,-0.01,0.009999653773275372,0.20133227504485496
Eastern Europe,0.227,0.179,0.275,9.42598166275154e-11,0.7579482602037869
Eastern Sub-Saharan Africa,-0.024,-0.029,-0.019,8.980468091167528e-11,0.7587207624081215
High-income Asia Pacific,0.139,0.06,0.218,0.00120420504310518,0.29893668174104315
High-income North America,-0.092,-0.147,-0.037,0.0018328422095775366,0.2803190527748075
North Africa and Middle East,-0.037,-0.04,-0.033,2.455828336529771e-19,0.9347697898448544
Oceania,-0.004,-0.019,0.01,0.5320343112751595,0.013148093644609893
South Asia,0.017,-0.007,0.042,0.16243490001099967,0.06399443179198794
Southeast Asia,0.07,0.046,0.094,1.6299883487717164e-06,0.5408138980537787
Southern Latin America,-0.012,-0.019,-0.004,0.005755709036116408,0.22767622218622452
Southern Sub-Saharan Africa,-0.014,-0.019,-0.01,5.291604659669811e-07,0.5732499269252035
Tropical Latin America,-0.001,-0.007,0.006,0.8207342563997896,0.0017388382134725378
Western Europe,-0.023,-0.038,-0.008,0.003915880880689468,0.24569856665063106
Western Sub-Saharan Africa,-0.011,-0.015,-0.006,4.093956782566098e-05,0.4344062653430075
