measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
6,Incidence,1,Global,1,Male,27,Age-standardized,559,Schizophrenia,3,Rate,1990,16.67941405498,19.83095014435,13.92436448091
6,Incidence,1,Global,2,Female,27,Age-standardized,559,Schizophrenia,3,Rate,1990,14.570988995,17.40727061834,12.1265234947
6,Incidence,1,Global,3,Both,27,Age-standardized,559,Schizophrenia,3,Rate,1990,15.63622785011,18.61784656807,13.03740088527
6,Incidence,1,Global,3,Both,27,Age-standardized,559,Schizophrenia,3,Rate,1991,15.62748304109,18.62570852988,13.02336999108
6,Incidence,1,Global,2,Female,27,Age-standardized,559,Schizophrenia,3,Rate,1991,14.55579895964,17.40641425155,12.10789504033
6,Incidence,1,Global,1,Male,27,Age-standardized,559,Schizophrenia,3,Rate,1991,16.67626988883,19.83864638759,13.90935552827
6,Incidence,1,Global,1,Male,27,Age-standardized,559,Schizophrenia,3,Rate,1992,16.669078101289998,19.84045253751,13.89267599188
6,Incidence,1,Global,2,Female,27,Age-standardized,559,Schizophrenia,3,Rate,1992,14.537834921120002,17.40130334067,12.08590455419
6,Incidence,1,Global,3,Both,27,Age-standardized,559,Schizophrenia,3,Rate,1992,15.61516266679,18.62919346004,13.00667764924
6,Incidence,1,Global,1,Male,27,Age-standardized,559,Schizophrenia,3,Rate,1993,16.66002504707,19.85497144104,13.87715994772
6,Incidence,1,Global,3,Both,27,Age-standardized,559,Schizophrenia,3,Rate,1993,15.601381715609998,18.63034134467,12.9894960408
6,Incidence,1,Global,2,Female,27,Age-standardized,559,Schizophrenia,3,Rate,1993,14.519319171249998,17.39417246148,12.06336476067
6,Incidence,1,Global,3,Both,27,Age-standardized,559,Schizophrenia,3,Rate,1994,15.58829111907,18.63154530841,12.97425621469
6,Incidence,1,Global,2,Female,27,Age-standardized,559,Schizophrenia,3,Rate,1994,14.50231652534,17.38786130375,12.04267803479
6,Incidence,1,Global,1,Male,27,Age-standardized,559,Schizophrenia,3,Rate,1994,16.651420285380002,19.8699374187,13.862632981490002
6,Incidence,1,Global,2,Female,27,Age-standardized,559,Schizophrenia,3,Rate,1995,14.48768464191,17.38401672687,12.02474783444
6,Incidence,1,Global,3,Both,27,Age-standardized,559,Schizophrenia,3,Rate,1995,15.57630789,18.63333649138,12.96113777935
6,Incidence,1,Global,1,Male,27,Age-standardized,559,Schizophrenia,3,Rate,1995,16.64292015972,19.88410367373,13.84898758234
6,Incidence,1,Global,1,Male,27,Age-standardized,559,Schizophrenia,3,Rate,1996,16.629541531580003,19.86578144216,13.82954674313
6,Incidence,1,Global,2,Female,27,Age-standardized,559,Schizophrenia,3,Rate,1996,14.4734190241,17.36452139948,12.00866439065
6,Incidence,1,Global,3,Both,27,Age-standardized,559,Schizophrenia,3,Rate,1996,15.56199956273,18.61980461159,12.940432853249998
6,Incidence,1,Global,1,Male,27,Age-standardized,559,Schizophrenia,3,Rate,1997,16.61017284543,19.83846384235,13.80612381471
6,Incidence,1,Global,2,Female,27,Age-standardized,559,Schizophrenia,3,Rate,1997,14.45840022062,17.34442995249,11.99257668539
6,Incidence,1,Global,3,Both,27,Age-standardized,559,Schizophrenia,3,Rate,1997,15.5442263735,18.60154431037,12.91747600833
6,Incidence,1,Global,2,Female,27,Age-standardized,559,Schizophrenia,3,Rate,1998,14.44513065351,17.324463322510002,11.97885354122
6,Incidence,1,Global,3,Both,27,Age-standardized,559,Schizophrenia,3,Rate,1998,15.52688250217,18.58175734199,12.89621492963
6,Incidence,1,Global,1,Male,27,Age-standardized,559,Schizophrenia,3,Rate,1998,16.5899324829,19.81916916425,13.78287204783
6,Incidence,1,Global,3,Both,27,Age-standardized,559,Schizophrenia,3,Rate,1999,15.51323096341,18.56352647569,12.87831171785
6,Incidence,1,Global,2,Female,27,Age-standardized,559,Schizophrenia,3,Rate,1999,14.43585913125,17.30599535808,11.96397559307
6,Incidence,1,Global,1,Male,27,Age-standardized,559,Schizophrenia,3,Rate,1999,16.57303623841,19.80239079182,13.76602997959
