measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
6,Incidence,1,Global,1,Male,1,<5 years,559,Schizophrenia,1,Number,2004,0.0,0.0,0.0
6,Incidence,1,Global,2,Female,1,<5 years,559,Schizophrenia,1,Number,2004,0.0,0.0,0.0
6,Incidence,1,Global,3,Both,1,<5 years,559,Schizophrenia,1,Number,2004,0.0,0.0,0.0
6,Incidence,1,Global,1,Male,6,5-9 years,559,Schizophrenia,1,Number,2004,0.0,0.0,0.0
6,Incidence,1,Global,2,Female,6,5-9 years,559,Schizophrenia,1,Number,2004,0.0,0.0,0.0
6,Incidence,1,Global,3,Both,6,5-9 years,559,Schizophrenia,1,Number,2004,0.0,0.0,0.0
6,Incidence,1,Global,1,Male,7,10-14 years,559,Schizophrenia,1,Number,2004,17773.42059411661,29962.399648621376,9437.650134092875
6,Incidence,1,Global,2,Female,7,10-14 years,559,Schizophrenia,1,Number,2004,14188.351304188474,24399.313259427618,7332.49091409728
6,Incidence,1,Global,3,Both,7,10-14 years,559,Schizophrenia,1,Number,2004,31961.77189830509,54354.168309203495,16783.84843989818
6,Incidence,1,Global,1,Male,8,15-19 years,559,Schizophrenia,1,Number,2004,89024.33842538534,137032.0001623705,50256.66009800068
6,Incidence,1,Global,2,Female,8,15-19 years,559,Schizophrenia,1,Number,2004,75627.18762141286,116128.36661849666,42103.38417170224
6,Incidence,1,Global,3,Both,8,15-19 years,559,Schizophrenia,1,Number,2004,164651.52604679804,252788.21916379192,92365.92561752725
6,Incidence,1,Global,1,Male,9,20-24 years,559,Schizophrenia,1,Number,2004,140598.28942234343,198411.573613027,90447.33736021456
6,Incidence,1,Global,2,Female,9,20-24 years,559,Schizophrenia,1,Number,2004,123648.52837381944,174341.9357381169,79439.7473374026
6,Incidence,1,Global,3,Both,9,20-24 years,559,Schizophrenia,1,Number,2004,264246.8177961629,372526.1646971277,169887.08469761716
6,Incidence,1,Global,1,Male,235,95+ years,559,Schizophrenia,1,Number,2004,0.0,0.0,0.0
6,Incidence,1,Global,2,Female,235,95+ years,559,Schizophrenia,1,Number,2004,0.0,0.0,0.0
6,Incidence,1,Global,3,Both,235,95+ years,559,Schizophrenia,1,Number,2004,0.0,0.0,0.0
6,Incidence,1,Global,1,Male,10,25-29 years,559,Schizophrenia,1,Number,2004,107201.26064714971,156513.56502829678,64333.223290376496
6,Incidence,1,Global,2,Female,10,25-29 years,559,Schizophrenia,1,Number,2004,94645.26007357072,138519.3060744866,56628.539533479896
6,Incidence,1,Global,3,Both,10,25-29 years,559,Schizophrenia,1,Number,2004,201846.52072072047,295032.8711027835,120961.76282385638
6,Incidence,1,Global,1,Male,11,30-34 years,559,Schizophrenia,1,Number,2004,75029.38365586451,118927.19108115038,38106.32645666318
6,Incidence,1,Global,2,Female,11,30-34 years,559,Schizophrenia,1,Number,2004,64340.085475890766,103172.83984179512,32069.35049158126
6,Incidence,1,Global,3,Both,11,30-34 years,559,Schizophrenia,1,Number,2004,139369.4691317553,222251.2553292695,70303.32810671735
6,Incidence,1,Global,1,Male,12,35-39 years,559,Schizophrenia,1,Number,2004,53422.41499951124,71244.36739482565,37390.46775644764
6,Incidence,1,Global,2,Female,12,35-39 years,559,Schizophrenia,1,Number,2004,45402.123788016535,60979.58983465997,31718.316944192626
6,Incidence,1,Global,3,Both,12,35-39 years,559,Schizophrenia,1,Number,2004,98824.53878752796,132222.8178399086,69132.87085442539
6,Incidence,1,Global,1,Male,13,40-44 years,559,Schizophrenia,1,Number,2004,34460.365114185115,54884.184946828886,19841.60494277266
6,Incidence,1,Global,2,Female,13,40-44 years,559,Schizophrenia,1,Number,2004,29121.21127204846,46282.23568086827,16619.96384406811
6,Incidence,1,Global,3,Both,13,40-44 years,559,Schizophrenia,1,Number,2004,63581.576386233566,101245.13462258445,36486.39762999278
6,Incidence,1,Global,1,Male,14,45-49 years,559,Schizophrenia,1,Number,2004,23115.779294578904,35371.88997561783,14249.345074933604
6,Incidence,1,Global,2,Female,14,45-49 years,559,Schizophrenia,1,Number,2004,19344.54089716873,29866.43553037413,11607.260565564718
6,Incidence,1,Global,3,Both,14,45-49 years,559,Schizophrenia,1,Number,2004,42460.32019174768,65126.0188963936,25881.99724245654
6,Incidence,1,Global,1,Male,15,50-54 years,559,Schizophrenia,1,Number,2004,14322.318566643416,20535.69617873487,9544.12798770165
6,Incidence,1,Global,2,Female,15,50-54 years,559,Schizophrenia,1,Number,2004,12033.267568801535,17481.290738114054,7882.468494696199
6,Incidence,1,Global,3,Both,15,50-54 years,559,Schizophrenia,1,Number,2004,26355.586135444963,38194.86414760225,17355.339288099887
6,Incidence,1,Global,1,Male,16,55-59 years,559,Schizophrenia,1,Number,2004,6801.616737370093,9389.078899116426,4685.147828408593
6,Incidence,1,Global,2,Female,16,55-59 years,559,Schizophrenia,1,Number,2004,5542.307981269183,7678.727613143732,3711.938335492687
6,Incidence,1,Global,3,Both,16,55-59 years,559,Schizophrenia,1,Number,2004,12343.924718639288,17080.900397814843,8427.76202614077
6,Incidence,1,Global,1,Male,17,60-64 years,559,Schizophrenia,1,Number,2004,3183.9748583814203,5013.51047971809,1692.3516210630503
6,Incidence,1,Global,2,Female,17,60-64 years,559,Schizophrenia,1,Number,2004,2540.7935847193617,4183.611810237794,1341.269455771423
6,Incidence,1,Global,3,Both,17,60-64 years,559,Schizophrenia,1,Number,2004,5724.768443100784,9173.862817072784,3042.398875907148
6,Incidence,1,Global,1,Male,18,65-69 years,559,Schizophrenia,1,Number,2004,1889.2339391408527,2975.05933127185,1005.165781606598
6,Incidence,1,Global,2,Female,18,65-69 years,559,Schizophrenia,1,Number,2004,1580.059249427045,2605.3704466227764,834.6593039004485
6,Incidence,1,Global,3,Both,18,65-69 years,559,Schizophrenia,1,Number,2004,3469.293188567901,5562.179331063053,1844.7377757207853
6,Incidence,1,Global,1,Male,19,70-74 years,559,Schizophrenia,1,Number,2004,844.6761634208864,1330.342057851562,449.3973112812096
6,Incidence,1,Global,2,Female,19,70-74 years,559,Schizophrenia,1,Number,2004,744.6275329848538,1229.42294094925,394.12584916405694
6,Incidence,1,Global,3,Both,19,70-74 years,559,Schizophrenia,1,Number,2004,1589.3036964057403,2552.234956718646,845.534521430169
6,Incidence,1,Global,1,Male,20,75-79 years,559,Schizophrenia,1,Number,2004,180.1857539441546,284.87694560335774,95.8435579674936
6,Incidence,1,Global,2,Female,20,75-79 years,559,Schizophrenia,1,Number,2004,176.83156560423484,294.70907903877344,93.73266617679003
6,Incidence,1,Global,3,Both,20,75-79 years,559,Schizophrenia,1,Number,2004,357.0173195483894,577.9915139003961,189.92776834259345
6,Incidence,1,Global,1,Male,22,All ages,559,Schizophrenia,1,Number,2004,567847.2581720357,679009.8714507753,470366.4195570021
6,Incidence,1,Global,2,Female,22,All ages,559,Schizophrenia,1,Number,2004,488935.1762889219,587734.8666426884,403359.46998225607
6,Incidence,1,Global,3,Both,22,All ages,559,Schizophrenia,1,Number,2004,1056782.434460957,1266744.7380934637,873738.351396332
6,Incidence,1,Global,1,Male,30,80-84 years,559,Schizophrenia,1,Number,2004,0.0,0.0,0.0
6,Incidence,1,Global,2,Female,30,80-84 years,559,Schizophrenia,1,Number,2004,0.0,0.0,0.0
6,Incidence,1,Global,3,Both,30,80-84 years,559,Schizophrenia,1,Number,2004,0.0,0.0,0.0
6,Incidence,1,Global,1,Male,31,85-89 years,559,Schizophrenia,1,Number,2004,0.0,0.0,0.0
6,Incidence,1,Global,2,Female,31,85-89 years,559,Schizophrenia,1,Number,2004,0.0,0.0,0.0
6,Incidence,1,Global,3,Both,31,85-89 years,559,Schizophrenia,1,Number,2004,0.0,0.0,0.0
6,Incidence,1,Global,1,Male,32,90-94 years,559,Schizophrenia,1,Number,2004,0.0,0.0,0.0
6,Incidence,1,Global,2,Female,32,90-94 years,559,Schizophrenia,1,Number,2004,0.0,0.0,0.0
6,Incidence,1,Global,3,Both,32,90-94 years,559,Schizophrenia,1,Number,2004,0.0,0.0,0.0
