measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
5,Prevalence,44637,Low SDI,1,Male,22,All ages,559,Schizophrenia,1,Number,1999,564530.4264096479,692470.1829855812,451108.9815979361
5,Prevalence,44637,Low SDI,2,Female,22,All ages,559,Schizophrenia,1,Number,1999,541440.3690054511,671139.8493769814,429722.045616793
5,Prevalence,44637,Low SDI,3,Both,22,All ages,559,Schizophrenia,1,Number,1999,1105970.7954150983,1365292.898349824,880831.0272147291
5,Prevalence,44637,Low SDI,1,Male,30,80-84 years,559,Schizophrenia,1,Number,1999,748.9702716671226,941.864416445688,579.8666859344207
5,Prevalence,44637,Low SDI,2,Female,30,80-84 years,559,Schizophrenia,1,Number,1999,792.7106898438443,1012.2610270139066,613.9887110983914
5,Prevalence,44637,Low SDI,3,Both,30,80-84 years,559,Schizophrenia,1,Number,1999,1541.6809615109678,1951.258729738936,1189.2103189578777
5,Prevalence,44637,Low SDI,1,Male,31,85-89 years,559,Schizophrenia,1,Number,1999,172.32640278547976,221.89064144398893,128.29158593907084
5,Prevalence,44637,Low SDI,2,Female,31,85-89 years,559,Schizophrenia,1,Number,1999,185.79369948713173,244.8001386912088,139.99935023155643
5,Prevalence,44637,Low SDI,3,Both,31,85-89 years,559,Schizophrenia,1,Number,1999,358.1201022726114,465.0683308743471,270.59158430433354
5,Prevalence,44637,Low SDI,1,Male,32,90-94 years,559,Schizophrenia,1,Number,1999,26.807494682680503,36.426816596887846,18.62538000456534
5,Prevalence,44637,Low SDI,2,Female,32,90-94 years,559,Schizophrenia,1,Number,1999,29.426035986816128,40.05370082995856,20.16987322290582
5,Prevalence,44637,Low SDI,3,Both,32,90-94 years,559,Schizophrenia,1,Number,1999,56.233530669496645,76.08406385999575,38.765773180679
5,Prevalence,44637,Low SDI,1,Male,235,95+ years,559,Schizophrenia,1,Number,1999,2.465650476481084,3.727838944709569,1.4532629208843817
5,Prevalence,44637,Low SDI,2,Female,235,95+ years,559,Schizophrenia,1,Number,1999,3.238609242922852,5.044789182872837,1.882217232562151
5,Prevalence,44637,Low SDI,3,Both,235,95+ years,559,Schizophrenia,1,Number,1999,5.704259719403934,8.801153747026763,3.381950094657112
5,Prevalence,44636,Low-middle SDI,1,Male,22,All ages,559,Schizophrenia,1,Number,1999,1716211.2906359716,2080279.2140616388,1382765.5904533877
5,Prevalence,44636,Low-middle SDI,2,Female,22,All ages,559,Schizophrenia,1,Number,1999,1381137.4732742007,1679214.634673498,1109030.470050746
5,Prevalence,44636,Low-middle SDI,3,Both,22,All ages,559,Schizophrenia,1,Number,1999,3097348.763910173,3755279.724979516,2488086.365929762
5,Prevalence,44636,Low-middle SDI,1,Male,30,80-84 years,559,Schizophrenia,1,Number,1999,2973.629443854132,3733.930116737549,2344.231919285476
5,Prevalence,44636,Low-middle SDI,2,Female,30,80-84 years,559,Schizophrenia,1,Number,1999,2969.110526341769,3668.9950441985534,2379.591732946996
5,Prevalence,44636,Low-middle SDI,3,Both,30,80-84 years,559,Schizophrenia,1,Number,1999,5942.7399701959,7409.089028704757,4731.010947362362
5,Prevalence,44636,Low-middle SDI,1,Male,31,85-89 years,559,Schizophrenia,1,Number,1999,831.824562021489,1062.491468366721,643.2116456028891
5,Prevalence,44636,Low-middle SDI,2,Female,31,85-89 years,559,Schizophrenia,1,Number,1999,876.8825801947429,1121.033033940171,678.9043517704342
5,Prevalence,44636,Low-middle SDI,3,Both,31,85-89 years,559,Schizophrenia,1,Number,1999,1708.7071422162314,2193.080337684542,1334.5971260278684
5,Prevalence,44636,Low-middle SDI,1,Male,32,90-94 years,559,Schizophrenia,1,Number,1999,164.7005771791348,217.15462512790376,119.03889756618256
5,Prevalence,44636,Low-middle SDI,2,Female,32,90-94 years,559,Schizophrenia,1,Number,1999,185.5345840695144,243.8501338638464,133.36758872966948
5,Prevalence,44636,Low-middle SDI,3,Both,32,90-94 years,559,Schizophrenia,1,Number,1999,350.23516124864904,460.45825229924606,254.21324157227804
5,Prevalence,44636,Low-middle SDI,1,Male,235,95+ years,559,Schizophrenia,1,Number,1999,21.016993002510425,30.76015760292654,13.527600630362958
