measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
5,Prevalence,44637,Low SDI,1,Male,22,All ages,559,Schizophrenia,1,Number,2014,868839.1202814842,1068928.0241886943,694030.2032196212
5,Prevalence,44637,Low SDI,2,Female,22,All ages,559,Schizophrenia,1,Number,2014,853704.8572183741,1061833.2834198123,682604.8474517032
5,Prevalence,44637,Low SDI,3,Both,22,All ages,559,Schizophrenia,1,Number,2014,1722543.97749986,2127995.917360889,1381649.8588334615
5,Prevalence,44637,Low SDI,1,Male,30,80-84 years,559,Schizophrenia,1,Number,2014,1380.1475473414755,1742.0732286087664,1078.3862573725376
5,Prevalence,44637,Low SDI,2,Female,30,80-84 years,559,Schizophrenia,1,Number,2014,1430.2859720378422,1801.8061270572125,1125.4916270553408
5,Prevalence,44637,Low SDI,3,Both,30,80-84 years,559,Schizophrenia,1,Number,2014,2810.4335193793177,3534.710799566681,2201.638413843443
5,Prevalence,44637,Low SDI,1,Male,31,85-89 years,559,Schizophrenia,1,Number,2014,333.09522487542307,431.0229860629099,255.1502191337771
5,Prevalence,44637,Low SDI,2,Female,31,85-89 years,559,Schizophrenia,1,Number,2014,356.399410324018,468.2715175427497,267.8645002854016
5,Prevalence,44637,Low SDI,3,Both,31,85-89 years,559,Schizophrenia,1,Number,2014,689.494635199441,900.1055480542344,524.2539582252884
5,Prevalence,44637,Low SDI,1,Male,32,90-94 years,559,Schizophrenia,1,Number,2014,54.84486809792948,73.3555671722624,38.2129349272039
5,Prevalence,44637,Low SDI,2,Female,32,90-94 years,559,Schizophrenia,1,Number,2014,65.28139948059993,88.93773736677721,44.99143429347927
5,Prevalence,44637,Low SDI,3,Both,32,90-94 years,559,Schizophrenia,1,Number,2014,120.12626757852942,162.85806258798624,83.1870422780025
5,Prevalence,44637,Low SDI,1,Male,235,95+ years,559,Schizophrenia,1,Number,2014,6.6125660086959215,9.81272079743811,4.092228412926015
5,Prevalence,44637,Low SDI,2,Female,235,95+ years,559,Schizophrenia,1,Number,2014,9.368241206077055,14.012845079085398,5.717459519775099
5,Prevalence,44637,Low SDI,3,Both,235,95+ years,559,Schizophrenia,1,Number,2014,15.980807214772982,23.95318352820893,9.89668102568685
5,Prevalence,44636,Low-middle SDI,1,Male,22,All ages,559,Schizophrenia,1,Number,2014,2417835.708100694,2917571.261885175,1946450.096955221
5,Prevalence,44636,Low-middle SDI,2,Female,22,All ages,559,Schizophrenia,1,Number,2014,2013115.132640036,2435202.246852912,1622841.786374317
5,Prevalence,44636,Low-middle SDI,3,Both,22,All ages,559,Schizophrenia,1,Number,2014,4430950.840740726,5349517.181328454,3576997.145153203
5,Prevalence,44636,Low-middle SDI,1,Male,30,80-84 years,559,Schizophrenia,1,Number,2014,5634.214759815603,6977.758969375355,4492.512369569804
5,Prevalence,44636,Low-middle SDI,2,Female,30,80-84 years,559,Schizophrenia,1,Number,2014,6166.607546144601,7584.076576306823,5010.361693924639
5,Prevalence,44636,Low-middle SDI,3,Both,30,80-84 years,559,Schizophrenia,1,Number,2014,11800.822305960222,14522.219399741482,9528.29899611141
5,Prevalence,44636,Low-middle SDI,1,Male,31,85-89 years,559,Schizophrenia,1,Number,2014,1591.191164727391,2034.6616652158627,1235.6026125105104
5,Prevalence,44636,Low-middle SDI,2,Female,31,85-89 years,559,Schizophrenia,1,Number,2014,1859.143242963396,2358.767207065411,1463.8137123932515
5,Prevalence,44636,Low-middle SDI,3,Both,31,85-89 years,559,Schizophrenia,1,Number,2014,3450.3344076907874,4409.014246839566,2697.1483414919644
5,Prevalence,44636,Low-middle SDI,1,Male,32,90-94 years,559,Schizophrenia,1,Number,2014,311.4227183464218,409.6674742538278,226.57421167528457
5,Prevalence,44636,Low-middle SDI,2,Female,32,90-94 years,559,Schizophrenia,1,Number,2014,415.5290698171281,545.9898522632586,304.3078394641676
5,Prevalence,44636,Low-middle SDI,3,Both,32,90-94 years,559,Schizophrenia,1,Number,2014,726.9517881635501,954.968369295932,531.5850657520717
5,Prevalence,44636,Low-middle SDI,1,Male,235,95+ years,559,Schizophrenia,1,Number,2014,57.00762999443948,79.99669718130735,37.82802998645224
5,Prevalence,44636,Low-middle SDI,2,Female,235,95+ years,559,Schizophrenia,1,Number,2014,87.9414382567207,123.1173817857073,59.84508291921595
